,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
6418,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,06/13/2016,2016
6419,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,07/29/2013,2013
6420,F,POL,Department of Police,PSB 4th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,01/14/2002,2002
6421,F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,12/05/2010,2010
6422,M,LIB,Department of Public Libraries,Silver Spring Library,Fulltime-Regular,Library Associate,09/21/2015,2015
6423,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,08/11/2014,2014
6424,M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,01/25/1999,1999
6425,F,OHR,Office of Human Resources,Information Technology Team,Fulltime-Regular,Human Capital Oracle Analyst,11/26/2000,2000
6426,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/28/2014,2014
6427,F,REC,Department of Recreation,Damascus Community Recreation Center,Fulltime-Regular,Recreation Specialist,11/21/1988,1988
6428,M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,03/17/2008,2008
6429,F,POL,Department of Police,PSB 1st District Community Action Team,Fulltime-Regular,Police Officer II,08/12/2013,2013
6430,F,HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Nurse Practitioner,02/22/2016,2016
6431,M,DLC,Department of Liquor Control,Administration,Fulltime-Regular,Manager II,01/19/1986,1986
6432,M,POL,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Police Officer III,09/18/1995,1995
6433,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,03/12/2013,2013
6434,M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician I,04/16/1993,1993
6435,M,DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,Fulltime-Regular,Manager III,07/17/1989,1989
6436,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/26/2013,2013
6437,M,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Investment Officer,06/17/2013,2013
6438,F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Services Assistant,07/16/2007,2007
6439,M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,02/11/2013,2013
6440,F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Office Services Coordinator,12/17/2000,2000
6441,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Deputy Clerk County Council,04/24/2000,2000
6442,M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,09/02/2008,2008
6443,M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician I,07/25/2016,2016
6444,M,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Accountant/Auditor II,05/10/1999,1999
6445,M,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Library Assistant I,08/02/1982,1982
6446,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/15/2002,2002
6447,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,07/26/1993,1993
6448,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,01/17/2006,2006
6449,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/13/2007,2007
6450,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/22/2016,2016
6451,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
6452,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,08/11/2014,2014
6453,M,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Police Sergeant,03/03/1997,1997
6454,M,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,Fulltime-Regular,Police Captain,08/07/1989,1989
6455,F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide I,03/31/2008,2008
6456,M,POL,Department of Police,ISB Family Crimes Division Pedophile Section,Fulltime-Regular,Police Officer III,09/08/1987,1987
6457,F,DEP,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Manager III,06/22/1986,1986
6458,F,HHS,Department of Health and Human Services,Adult Intensive Outpatient Services,Fulltime-Regular,Therapist II,06/10/1991,1991
6459,F,HHS,Department of Health and Human Services,Public Health Emergency Preparedness and Response Program,Fulltime-Regular,Administrative Specialist III,12/16/2013,2013
6460,F,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Capital Projects Manager,06/07/1999,1999
6461,M,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,11/24/2008,2008
6462,M,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Manager III,10/21/2002,2002
6463,M,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff II,01/28/2013,2013
6464,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006
6465,F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Principal Administrative Aide,01/28/2013,2013
6466,F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Public Administration Associate,06/27/2016,2016
6467,F,LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Desk Assistant,01/26/2015,2015
6468,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/17/1998,1998
6469,M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Program Manager I,05/07/2001,2001
6470,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/16/1999,1999
6471,F,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Engineer III,11/19/2012,2012
6472,M,FRS,Fire and Rescue Services,Field Operations Administration,Fulltime-Regular,Fire/Rescue Captain,09/11/2000,2000
6473,M,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Captain,01/16/1983,1983
6474,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Office Services Coordinator,01/27/1992,1992
6475,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager III,12/11/2006,2006
6476,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
6477,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,06/03/2013,2013
6478,M,POL,Department of Police,PSB 3rd District Educational Facilities Officers,Fulltime-Regular,Police Officer III,12/16/2002,2002
6479,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,12/22/2014,2014
6480,F,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Associate II,10/02/1995,1995
6481,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician I,01/27/2014,2014
6482,M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/27/2003,2003
6483,M,COR,Correction and Rehabilitation,PTS ACS Work Crew,Fulltime-Regular,Correctional Officer III (Corporal),12/24/2001,2001
6484,M,COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,Fulltime-Regular,Program Specialist I,10/20/2003,2003
6485,M,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,05/03/2004,2004
6486,M,DEP,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Engineer II,05/23/1988,1988
6487,M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician II,05/07/2001,2001
6488,M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist I,09/19/2016,2016
6489,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,11/06/1989,1989
6490,M,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
6491,M,POL,Department of Police,PSB 6th District Station,Fulltime-Regular,Police Captain,01/18/1994,1994
6492,F,POL,Department of Police,PSB 3rd District Station,Fulltime-Regular,Police Officer III,07/06/1992,1992
6493,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
6494,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/20/2001,2001
6495,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,07/27/2015,2015
6496,M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
6497,,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),08/26/2013,2013
6498,M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Permitting and Code Enforcement Inspector III,09/08/2014,2014
6499,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Property Manager II,03/06/2006,2006
6500,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
6501,M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,09/22/2014,2014
6502,M,DLC,Department of Liquor Control,Burtonsville,Parttime-Regular,Liquor Store Clerk I,10/09/2011,2011
6503,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Manager III,12/08/2008,2008
6504,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer II,03/19/2007,2007
6505,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
6506,F,HHS,Department of Health and Human Services,Senior Dental,Fulltime-Regular,Dental Assistant,10/18/2004,2004
6507,F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Community Services Aide III,06/04/2012,2012
6508,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,02/24/2008,2008
6509,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,01/12/2015,2015
6510,M,POL,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Master Police Officer,06/13/1994,1994
6511,F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),06/01/2004,2004
6512,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
6513,F,OHR,Office of Human Resources,Classification and Compensation Team,Fulltime-Regular,Human Resources Specialist II,08/26/2013,2013
6514,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,05/31/2016,2016
6515,M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer II,02/22/1994,1994
6516,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,10/26/2011,2011
6517,F,BOE,Board of Elections,Absentee Voting,Fulltime-Regular,Program Specialist II,09/23/1996,1996
6518,F,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist III,10/17/2016,2016
6519,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,10/16/2006,2006
6520,F,HHS,Department of Health and Human Services,"Chief, Behavioral Health and Crisis Services",Fulltime-Regular,Executive Administrative Aide,01/23/2006,2006
6521,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
6522,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/14/2007,2007
6523,F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Executive Administrative Aide,05/31/2005,2005
6524,M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,02/22/1994,1994
6525,F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,03/28/1988,1988
6526,M,POL,Department of Police,ISB Criminal Investigations Division 5th District Investigative Section,Fulltime-Regular,Police Officer III,09/12/1988,1988
6527,M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,10/17/2005,2005
6528,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,11/13/2005,2005
6529,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Operations Supervisor,02/24/2008,2008
6530,M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,08/05/1979,1979
6531,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,10/21/1985,1985
6532,F,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Office Services Coordinator,10/05/1998,1998
6533,M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,09/09/2013,2013
6534,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,02/06/1995,1995
6535,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014
6536,F,OHR,Office of Human Resources,Recruitment and Selection Division,Parttime-Regular,Human Resources Specialist III,11/18/2004,2004
6537,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/11/1991,1991
6538,F,CCL,County Council,Council Central Staff,Parttime-Regular,Legislative Services Coordinator,08/21/1989,1989
6539,M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
6540,F,FIN,Department of Finance,Tax Operations,Fulltime-Regular,Program Manager II,09/19/1988,1988
6541,M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,09/29/1997,1997
6542,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
6543,M,HHS,Department of Health and Human Services,"Chief, Behavioral Health and Crisis Services",Fulltime-Regular,Medical Doctor III - Psychiatrist,03/05/2001,2001
6544,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/30/2000,2000
6545,M,DOT,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,02/24/2008,2008
6546,F,HHS,Department of Health and Human Services,Adult Foster Care - Project Home,Parttime-Regular,Program Specialist II,01/03/2000,2000
6547,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,01/13/2003,2003
6548,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
6549,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,11/12/2002,2002
6550,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic II,11/19/2001,2001
6551,M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Services Aide III,08/22/2005,2005
6552,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
6553,F,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,04/21/2003,2003
6554,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,06/24/2002,2002
6555,F,REC,Department of Recreation,Long Branch Senior Center,Fulltime-Regular,Recreation Specialist,03/05/2007,2007
6556,M,BOE,Board of Elections,Polling Place Management,Fulltime-Regular,Office Services Coordinator,09/28/1998,1998
6557,M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014
6558,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,08/22/1999,1999
6559,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),01/22/2008,2008
6560,F,HHS,Department of Health and Human Services,Housing Initiative Program,Fulltime-Regular,Program Manager I,09/08/2003,2003
6561,F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Assistant I,04/16/1996,1996
6562,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/14/2008,2008
6563,F,POL,Department of Police,MSB Management and Budget Division False Alarm Reduction Unit,Fulltime-Regular,Program Specialist I,08/28/2000,2000
6564,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012
6565,F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Nurse Practitioner,04/22/2002,2002
6566,M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,03/27/2006,2006
6567,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,07/27/2015,2015
6568,M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Fire/Rescue Captain,10/15/1979,1979
6569,F,HHS,Department of Health and Human Services,School Based Health Centers,Fulltime-Regular,Nurse Manager,08/11/2014,2014
6570,F,HHS,Department of Health and Human Services,Special Projects - Linkages to Learning,Parttime-Regular,Community Services Aide III,05/07/2012,2012
6571,M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Public Service Worker IV,11/24/2008,2008
6572,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,05/18/2015,2015
6573,F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,07/19/2004,2004
6574,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),05/16/2016,2016
6575,F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,10/02/2006,2006
6576,F,HHS,Department of Health and Human Services,Child Care Subsidies - Admin,Fulltime-Regular,Income Assistance Program Specialist II,08/14/2000,2000
6577,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,09/15/2008,2008
6578,M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,06/22/2009,2009
6579,F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Client Assistance Specialist,06/03/2002,2002
6580,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Autobody Repairer,10/31/2005,2005
6581,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/19/1991,1991
6582,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,04/09/2012,2012
6583,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
6584,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,08/01/2011,2011
6585,F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Community Services Aide II,02/06/2006,2006
6586,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/18/2010,2010
6587,F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,01/16/2007,2007
6588,M,POL,Department of Police,PSB 6th District Community Action Team,Fulltime-Regular,Police Sergeant,06/13/1994,1994
6589,F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Police Aide,07/09/2007,2007
6590,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,07/30/2013,2013
6591,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/03/2009,2009
6592,F,HHS,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,10/05/2015,2015
6593,F,HHS,Department of Health and Human Services,Adult Foster Care - Project Home,Fulltime-Regular,Social Worker III,10/10/1983,1983
6594,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016
6595,M,REC,Department of Recreation,Scotland Neighborhood Recreation Center,Fulltime-Regular,Recreation Specialist,06/25/2009,2009
6596,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,01/07/2008,2008
6597,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,11/10/2014,2014
6598,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
6599,M,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Latent Print Examiner,09/12/2011,2011
6600,M,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,01/02/2001,2001
6601,M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Public Service Worker II,09/24/2012,2012
6602,M,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Information Technology Specialist III,09/04/1990,1990
6603,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/22/2012,2012
6604,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),08/06/2007,2007
6605,M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,01/22/2008,2008
6606,F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist II,01/26/2015,2015
6607,F,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,08/29/2011,2011
6608,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
6609,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,02/11/2002,2002
6610,M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,07/24/1989,1989
6611,F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Community Services Aide II,02/04/2008,2008
6612,F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,03/21/1988,1988
6613,M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,12/27/2004,2004
6614,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/12/2008,2008
6615,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
6616,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/08/1999,1999
6617,M,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Office Services Coordinator,03/19/2007,2007
6618,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/12/1994,1994
6619,M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,11/22/2010,2010
6620,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
6621,M,POL,Department of Police,PSB 2nd District Community Action Team,Fulltime-Regular,Police Officer III,07/12/2010,2010
6622,F,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist I,04/14/1997,1997
6623,M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
6624,M,DPS,Department of Permitting Services,Land Development Well and Septic,Fulltime-Regular,Office Clerk,09/23/2013,2013
6625,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,06/09/2008,2008
6626,F,HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist II,03/22/2004,2004
6627,M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),12/17/2012,2012
6628,M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,05/16/2005,2005
6629,M,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,Fulltime-Regular,Police Officer III,01/18/1994,1994
6630,M,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Captain,08/17/1998,1998
6631,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/06/2002,2002
6632,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,10/21/2002,2002
6633,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,01/26/2004,2004
6634,M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004
6635,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,08/31/1998,1998
6636,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/24/2014,2014
6637,M,POL,Department of Police,PSB 3rd District Patrol,Parttime-Regular,Police Officer III,07/14/2008,2008
6638,F,HHS,Department of Health and Human Services,Child Care Subsidies - Admin,Fulltime-Regular,Principal Administrative Aide,08/24/1975,1975
6639,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/23/2007,2007
6640,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,04/28/2008,2008
6641,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Principal Administrative Aide,02/14/2000,2000
6642,M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Sergeant,05/13/2002,2002
6643,M,SHF,Sheriff's Office,Civil Process,Fulltime-Regular,Deputy Sheriff II,07/16/2012,2012
6644,M,DLC,Department of Liquor Control,Pike,Fulltime-Regular,Liquor Store Clerk II,07/10/2003,2003
6645,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
6646,F,HHS,Department of Health and Human Services,Autism Waiver,Fulltime-Regular,Program Specialist II,01/30/2012,2012
6647,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/27/2014,2014
6648,M,POL,Department of Police,PSB 3rd District Traffic Squad,Fulltime-Regular,Police Officer III,03/04/1991,1991
6649,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
6650,M,POL,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Police Officer III,12/04/2000,2000
6651,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/13/2006,2006
6652,M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
6653,M,POL,Department of Police,MSB Policy and Planning Division,Fulltime-Regular,Program Manager I,07/01/2013,2013
6654,F,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Librarian I,02/04/2008,2008
6655,M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,06/26/2006,2006
